COUNTY_NAME,PARTY_NAME,Adult Film Condom Requirements,Ban on Single-use Plastic Bags,Carryout Bag Charges,Cigarette Tax,Corporate Political Spending Advisory Question,Criminal Sentences & Juvenile Crime Proceedings,Death Penalty Procedure Time Limits,English Proficiency. Multilingual Education.,Firearms and Ammunition Sales,K-12 and Community College Facilities,Legislative Procedure Requirements,Marijuana Legalization,Medi-Cal Hospital Fee Program,Repeal of Death Penalty,State Prescription Drug Purchase Standards,Tax Extension for Education and Healthcare,Voter Approval of Revenue Bonds
Orange,Democratic,0.46581296785362947,0.4305083432350054,0.43058609763971933,0.6091511135832985,0.4662399970447126,0.5795795042922722,0.5911794920151926,0.6815667577170141,0.5950651904415851,0.49048740414303965,0.6978428963073949,0.5201683472573482,0.6719554416591562,0.39762768579119806,0.44384320207182976,0.5390377279654149,0.5711000383288616
Placer,Republican,0.37722739116366466,0.4223964350552897,0.38892353609372565,0.5371797227055124,0.4529258953022653,0.5428919128222148,0.6174202319997686,0.6511666418268832,0.44284162668718857,0.43352591559584286,0.6573953361825623,0.48142120380899006,0.6145734323942791,0.3225012036724461,0.36809438288547774,0.5072395481102895,0.5564247906350027
Plumas,Republican,0.3432526705908001,0.4038421599169263,0.3650710702341137,0.47062423500611994,0.4663081650570676,0.526036794512005,0.5562964582422387,0.6497916666666667,0.32622645415027945,0.3767030681227249,0.6223166843783209,0.5221084953940635,0.621524852569503,0.31352928913904526,0.36391501955395833,0.5344415584415585,0.5570732740364253
Riverside,Democratic,0.5302076222229328,0.40625629680773867,0.4335710945971489,0.5700694283230846,0.4458978225103204,0.5683164145952496,0.5758756774162805,0.6814086049693994,0.5389937728575664,0.5508696133972313,0.6828551860802591,0.5292223139436653,0.6590839488256214,0.3583980640785533,0.4049002568516695,0.5999713110571048,0.5624302887594498
Sacramento,Democratic,0.4465439583321339,0.5087899351971448,0.4769224216317921,0.5941617797837656,0.4887228984834751,0.6347049740058228,0.5240550291278584,0.7351986408243468,0.5693895440487972,0.5348662838907223,0.6522436986849758,0.5423368756948757,0.6817816864590336,0.4339520362805791,0.4481059917605719,0.6402634833714483,0.5315910570213281
San Benito,Democratic,0.44738978841285765,0.5048130841121495,0.47224582271311244,0.6109025997803003,0.5068741132149323,0.5964683408656758,0.509782873871676,0.7202797202797203,0.5271837036352718,0.5374085437809771,0.6025845026278991,0.5545737569819613,0.6470225969965417,0.39993485645153787,0.41908811717458067,0.639345785707648,0.499063355588645
San Bernardino,Democratic,0.5547905374796385,0.390498753276237,0.4139860431606192,0.5744428776451476,0.4361335947415466,0.5626437229909983,0.5764695065990915,0.695286836728774,0.5359457448617183,0.5434369576807045,0.679739859839398,0.5253627767142672,0.6703102085060256,0.3656519496530945,0.41449601654410895,0.60815023492173,0.5632008419007528
San Diego,Democratic,0.4304678653219936,0.5222391272872277,0.48089052998440585,0.6320401340402042,0.5282310875830591,0.670031844212769,0.5395913083743153,0.7244403651422375,0.6160142110466468,0.5425691524037171,0.6503125394855176,0.570181441827922,0.6986849377774207,0.45057247948997137,0.4600670745621659,0.6093138802786495,0.5222977840099076
San Francisco,Democratic,0.31430500377912685,0.7621742072773776,0.40619841478219504,0.8149067070095815,0.7658349976090687,0.8259668726276997,0.3172188369010117,0.8702834660599166,0.8546712100414333,0.6675447784368733,0.6281576663937525,0.7426080964512324,0.7924037156317373,0.7098448321667469,0.5227612052741015,0.7261222671241978,0.3078742378544926
San Joaquin,Democratic,0.4855122720946578,0.4143251576089457,0.4359698376621874,0.5745881108885693,0.4747636029868727,0.5859786732988062,0.5765504615149897,0.7115259288966262,0.5304499568262062,0.5674789750539072,0.6434921822823662,0.5184603476053752,0.6602411418231503,0.3602692524172772,0.4214832676803004,0.6319618011925704,0.573865126034683
